Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP,P1,P2,P3
MonocultureBU_0,48,0.0,0.0,0.0,0.0,0.785933335,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,51,0.0,0.0,0.0,0.0,0.779000004,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,54,0.0,0.0,0.0,0.0,0.763266682,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,57,0.0,0.0,0.0,0.0,0.759733319,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,60,0.0,0.0,0.0,0.0,0.746966659,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,63,0.0,0.0,0.0,0.0,0.731666664,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,66,0.0,0.0,0.0,0.0,0.719666659,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,0,0.0,0.001599997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,3,0.0,0.031866664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,6,0.0,0.399366646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,9,0.0,0.899999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,12,0.0,0.994466642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,15,0.0,1.066566685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,18,0.0,1.029666681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,21,0.0,0.994799991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,24,0.0,0.971433341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,27,0.0,0.962233324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,30,0.0,0.962199985,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,33,0.0,0.960566659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,36,0.0,0.964700003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,39,0.0,0.959766646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,42,0.0,0.925100008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,45,0.0,0.898066659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,48,0.0,0.906800011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBV_0,51,0.0,0.903699993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
