,Time,Replicate,media,OD,Strain
608,66,3,CM,0.467466692,Strain 293
609,66,1,CM,0.661666671,Strain 294
610,66,2,CM,0.652166644,Strain 294
611,66,3,CM,0.692966679,Strain 294
612,66,1,CM,0.170366654,Strain 295
613,66,2,CM,0.146966675,Strain 295
614,66,3,CM,0.219466666,Strain 295
615,66,1,CM,0.580166677,Strain 296
616,66,2,CM,0.601666668,Strain 296
617,66,3,CM,0.60556666,Strain 296
618,66,1,CM,0.298066655,Strain 298
619,66,2,CM,0.349366674,Strain 298
620,66,3,CM,0.356866667,Strain 298
