,Time,Replicate,media,OD,Strain
431,0,3,DM29 + Trehalose,0.015099995,MS002
432,3,1,DM29 + GalNAc,0.034999996,MS002
433,3,1,DM29 + Fucose,0.019199997,MS002
434,3,1,DM29 + Succinate,0.020299986,MS002
435,3,1,DM29 + Sorbitol,0.040900007,MS002
436,3,1,DM29 + Mannitol,0.044200003,MS002
437,3,1,DM29 + Trehalose,0.029000007,MS002
438,3,2,DM29 + GalNAc,0.018800005,MS002
439,3,2,DM29 + Fucose,0.017299995,MS002
440,3,2,DM29 + Succinate,0.015799999,MS002
441,3,2,DM29 + Sorbitol,0.025100008,MS002
442,3,2,DM29 + Mannitol,0.030299991,MS002
443,3,2,DM29 + Trehalose,0.017899998,MS002
444,3,3,DM29 + GalNAc,0.028300002,MS002
445,3,3,DM29 + Fucose,0.020099998,MS002
446,3,3,DM29 + Succinate,0.0123,MS002
447,3,3,DM29 + Sorbitol,0.019299999,MS002
448,3,3,DM29 + Mannitol,0.0299,MS002
449,3,3,DM29 + Trehalose,0.020499997,MS002
450,6,1,DM29 + GalNAc,0.073400006,MS002
451,6,1,DM29 + Fucose,0.04079999,MS002
452,6,1,DM29 + Succinate,0.058499992,MS002
453,6,1,DM29 + Sorbitol,0.142499998,MS002
454,6,1,DM29 + Mannitol,0.238199994,MS002
455,6,1,DM29 + Trehalose,0.080499999,MS002
456,6,2,DM29 + GalNAc,0.0546,MS002
457,6,2,DM29 + Fucose,0.04519999,MS002
458,6,2,DM29 + Succinate,0.050999999,MS002
459,6,2,DM29 + Sorbitol,0.128700003,MS002
460,6,2,DM29 + Mannitol,0.220599994,MS002
461,6,2,DM29 + Trehalose,0.065299995,MS002
462,6,3,DM29 + GalNAc,0.064999998,MS002
463,6,3,DM29 + Fucose,0.046599999,MS002
464,6,3,DM29 + Succinate,0.054099992,MS002
465,6,3,DM29 + Sorbitol,0.117700011,MS002
466,6,3,DM29 + Mannitol,0.228,MS002
467,6,3,DM29 + Trehalose,0.070900001,MS002
468,9,1,DM29 + GalNAc,0.125599995,MS002
469,9,1,DM29 + Fucose,0.106699988,MS002
470,9,1,DM29 + Succinate,0.2456,MS002
471,9,1,DM29 + Sorbitol,0.237999991,MS002
472,9,1,DM29 + Mannitol,0.623800024,MS002
473,9,1,DM29 + Trehalose,0.2531,MS002
474,9,2,DM29 + GalNAc,0.104699999,MS002
475,9,2,DM29 + Fucose,0.104699999,MS002
